#DestinationIp	Time	Send Tcp throughput	Send Tcp delay	Number of Lost Pkts	Number of Tx Pkts	ErrorUlTx	ErrorDlTx	HarqUlTx	HarqDlTx
0.57		7.0.0.2		52.6525		52.32		0		972		x		x		x		x	12660.3
0.6		7.0.0.2		989.867		67.301		0		1388		x		x		x		x	103113
0.63		7.0.0.2		989.867		82.282		0		1805		x		x		x		x	103113
0.66		7.0.0.2		957.935		97.3255		0		2222		x		x		x		x	103113
0.69		7.0.0.2		989.867		112.294		0		2638		x		x		x		x	103113
0.72		7.0.0.2		989.867		127.308		0		3055		x		x		x		x	103113
0.75		7.0.0.2		957.935		142.313		0		3472		x		x		x		x	103113
0.78		7.0.0.2		989.867		157.164		0		3888		x		x		x		x	103113
0.81		7.0.0.2		989.867		169.531		0		4305		x		x		x		x	103113
0.84		7.0.0.2		957.935		179.426		0		4722		x		x		x		x	103113
0.87		7.0.0.2		989.867		187.522		0		5138		x		x		x		x	103113
0.9		7.0.0.2		989.867		194.246		0		5555		x		x		x		x	103113
0.93		7.0.0.2		989.867		199.956		0		5972		x		x		x		x	103113
0.96		7.0.0.2		957.935		204.851		0		6388		x		x		x		x	103113
0.99		7.0.0.2		989.867		209.093		0		6805		x		x		x		x	103113
1.02		7.0.0.2		989.867		212.805		0		7222		x		x		x		x	103113
1.05		7.0.0.2		957.935		216.079		0		7638		x		x		x		x	103113
1.08		7.0.0.2		989.867		218.976		0		8055		x		x		x		x	103113
1.11		7.0.0.2		989.867		221.582		0		8472		x		x		x		x	103113
1.14		7.0.0.2		957.935		223.927		0		8889		x		x		x		x	103113
1.17		7.0.0.2		989.867		226.048		0		9305		x		x		x		x	103113
1.2		7.0.0.2		989.867		227.978		0		9722		x		x		x		x	103113
1.23		7.0.0.2		968.348		229.307		0		10139		x		x		x		x	103113
1.26		7.0.0.2		989.867		230.957		0		10555		x		x		x		x	103113
1.29		7.0.0.2		957.935		232.473		0		10972		x		x		x		x	103113
1.32		7.0.0.2		989.867		233.87		0		11389		x		x		x		x	103113
1.35		7.0.0.2		989.867		235.155		0		11805		x		x		x		x	103113
1.38		7.0.0.2		957.935		236.365		0		12222		x		x		x		x	103113
1.41		7.0.0.2		989.867		237.482		0		12639		x		x		x		x	103113
1.44		7.0.0.2		989.867		238.515		0		13055		x		x		x		x	103113
1.47		7.0.0.2		989.867		239.489		0		13472		x		x		x		x	103113
1.5		7.0.0.2		957.935		240.403		0		13889		x		x		x		x	103113
1.53		7.0.0.2		989.867		241.252		0		14305		x		x		x		x	103113
1.56		7.0.0.2		989.867		242.059		0		14722		x		x		x		x	103113
1.59		7.0.0.2		957.935		242.826		0		15139		x		x		x		x	103113
1.62		7.0.0.2		989.867		243.537		0		15555		x		x		x		x	103113
1.65		7.0.0.2		989.867		244.216		0		15972		x		x		x		x	103113
1.68		7.0.0.2		957.935		244.859		0		16389		x		x		x		x	103113
1.71		7.0.0.2		989.867		245.468		0		16805		x		x		x		x	103113
1.74		7.0.0.2		989.867		246.041		0		17222		x		x		x		x	103113
1.77		7.0.0.2		957.935		246.598		0		17639		x		x		x		x	103113
1.8		7.0.0.2		989.867		247.122		0		18055		x		x		x		x	103113
1.83		7.0.0.2		989.867		247.616		0		18472		x		x		x		x	103113
1.86		7.0.0.2		989.867		248.093		0		18889		x		x		x		x	103113
1.89		7.0.0.2		957.935		248.548		0		19305		x		x		x		x	103113
1.92		7.0.0.2		989.867		248.978		0		19722		x		x		x		x	103113
1.95		7.0.0.2		989.867		249.396		0		20139		x		x		x		x	103113
1.98		7.0.0.2		968.348		249.699		0		20555		x		x		x		x	103113
2.01		7.0.0.2		989.867		250.087		0		20972		x		x		x		x	103113
2.04		7.0.0.2		957.935		250.458		0		21389		x		x		x		x	103113
2.07		7.0.0.2		989.867		250.81		0		21805		x		x		x		x	103113
2.1		7.0.0.2		989.867		251.153		0		22222		x		x		x		x	103113
2.13		7.0.0.2		957.935		251.483		0		22639		x		x		x		x	103113
2.16		7.0.0.2		989.867		251.801		0		23055		x		x		x		x	103113
2.19		7.0.0.2		989.867		252.107		0		23472		x		x		x		x	103113
2.22		7.0.0.2		957.935		252.402		0		23889		x		x		x		x	103113
2.25		7.0.0.2		989.867		252.687		0		24305		x		x		x		x	103113
2.28		7.0.0.2		989.867		252.957		0		24722		x		x		x		x	103113
2.31		7.0.0.2		989.867		253.222		0		25139		x		x		x		x	103113
2.34		7.0.0.2		957.935		253.478		0		25555		x		x		x		x	103113
2.37		7.0.0.2		989.867		253.726		0		25972		x		x		x		x	103113
2.4		7.0.0.2		989.867		253.966		0		26389		x		x		x		x	103113
2.43		7.0.0.2		957.935		254.199		0		26805		x		x		x		x	103113
2.46		7.0.0.2		989.867		254.419		0		27222		x		x		x		x	103113
2.49		7.0.0.2		989.867		254.637		0		27639		x		x		x		x	103113
2.52		7.0.0.2		957.935		254.849		0		28055		x		x		x		x	103113
2.55		7.0.0.2		989.867		255.053		0		28472		x		x		x		x	103113
2.58		7.0.0.2		989.867		255.253		0		28889		x		x		x		x	103113
2.61		7.0.0.2		968.348		255.396		0		29305		x		x		x		x	103113
2.64		7.0.0.2		989.867		255.585		0		29722		x		x		x		x	103113
2.67		7.0.0.2		957.935		255.768		0		30139		x		x		x		x	103113
2.7		7.0.0.2		989.867		255.947		0		30555		x		x		x		x	103113
2.73		7.0.0.2		989.867		256.117		0		30972		x		x		x		x	103113
2.76		7.0.0.2		957.935		256.289		0		31389		x		x		x		x	103113
2.79		7.0.0.2		989.867		256.453		0		31805		x		x		x		x	103113
2.82		7.0.0.2		989.867		256.61		0		32222		x		x		x		x	103113
2.85		7.0.0.2		989.867		256.765		0		32639		x		x		x		x	103113
2.88		7.0.0.2		957.935		256.917		0		33056		x		x		x		x	103113
2.91		7.0.0.2		989.867		257.062		0		33472		x		x		x		x	103113
2.94		7.0.0.2		989.867		257.206		0		33889		x		x		x		x	103113
2.97		7.0.0.2		957.935		257.349		0		34306		x		x		x		x	103113
3		7.0.0.2		989.867		257.483		0		34722		x		x		x		x	103113
3.03		7.0.0.2		989.867		257.617		0		35139		x		x		x		x	103113
3.06		7.0.0.2		957.935		257.748		0		35556		x		x		x		x	103113
3.09		7.0.0.2		989.867		257.875		0		35972		x		x		x		x	103113
3.12		7.0.0.2		989.867		257.996		0		36389		x		x		x		x	103113
3.15		7.0.0.2		957.935		258.121		0		36806		x		x		x		x	103113
3.18		7.0.0.2		989.867		258.239		0		37222		x		x		x		x	103113
3.21		7.0.0.2		989.867		258.353		0		37639		x		x		x		x	103113
3.24		7.0.0.2		989.867		258.466		0		38056		x		x		x		x	103113
3.27		7.0.0.2		957.935		258.577		0		38472		x		x		x		x	103113
3.3		7.0.0.2		989.867		258.683		0		38889		x		x		x		x	103113
3.33		7.0.0.2		989.867		258.789		0		39306		x		x		x		x	103113
3.36		7.0.0.2		968.348		258.869		0		39722		x		x		x		x	103113
3.39		7.0.0.2		989.867		258.971		0		40139		x		x		x		x	103113
3.42		7.0.0.2		957.935		259.071		0		40556		x		x		x		x	103113
3.45		7.0.0.2		989.867		259.166		0		40972		x		x		x		x	103113
