% time	cellId	IMSI	RNTI	sinrLinear
8.561	1	1	1	87.8013
8.601	1	1	1	113.107
8.641	1	1	1	93.7765
8.681	1	1	1	80.1061
8.721	1	1	1	10.8458
8.761	1	1	1	56.0137
8.801	1	1	1	139.685
8.841	1	1	1	86.851
8.881	1	1	1	52.7349
8.921	1	1	1	44.3301
8.961	1	1	1	13.1248
9.001	1	1	1	36.9493
9.041	1	1	1	30.2921
9.081	1	1	1	12.5444
9.121	1	1	1	3.40827
9.161	1	1	1	7.37923
9.201	1	1	1	20.2636
9.241	1	1	1	28.7905
9.281	1	1	1	11.6865
9.321	1	1	1	8.24918
9.361	1	1	1	45.1922
9.401	1	1	1	61.004
9.441	1	1	1	25.6666
9.481	1	1	1	3.16135
9.521	1	1	1	117.838
9.561	1	1	1	129.173
9.601	1	1	1	24.6414
9.641	1	1	1	9.19616
9.681	1	1	1	15.4658
9.721	1	1	1	8.16993
9.761	1	1	1	44.6305
9.801	1	1	1	24.6928
9.841	1	1	1	11.3038
9.881	1	1	1	7.54171
9.921	1	1	1	2.8415
9.961	1	1	1	14.0691
10.001	1	1	1	18.8168
10.041	1	1	1	24.8167
10.081	1	1	1	18.3722
10.121	1	1	1	3.63292
10.161	1	1	1	28.3646
10.201	1	1	1	37.2084
10.241	1	1	1	3.01935
10.281	1	1	1	43.9091
10.321	1	1	1	57.8798
10.361	1	1	1	6.68529
10.401	1	1	1	29.9003
10.441	1	1	1	39.6822
10.481	1	1	1	14.5188
10.521	1	1	1	12.3218
10.561	1	1	1	61.7208
10.601	1	1	1	48.1424
10.641	1	1	1	33.9513
10.681	1	1	1	64.9053
10.721	1	1	1	76.0489
10.761	1	1	1	54.6791
10.801	1	1	1	9.79734
10.841	1	1	1	26.5165
10.881	1	1	1	22.6866
10.921	1	1	1	9.14079
10.961	1	1	1	45.5663
11.001	1	1	1	65.3236
11.041	1	1	1	43.6101
11.081	1	1	1	9.77732
11.121	1	1	1	9.80117
11.161	1	1	1	4.90789
11.201	1	1	1	11.7324
11.241	1	1	1	19.059
11.281	1	1	1	13.7353
11.321	1	1	1	45.6422
11.361	1	1	1	61.5704
11.401	1	1	1	46.2217
11.441	1	1	1	21.9476
11.481	1	1	1	14.9913
11.521	1	1	1	20.5609
11.561	1	1	1	72.1709
11.601	1	1	1	107.587
11.641	1	1	1	56.7599
11.681	1	1	1	8.89437
11.721	1	1	1	18.9633
11.761	1	1	1	50.2162
11.801	1	1	1	92.109
11.841	1	1	1	66.1806
11.881	1	1	1	24.8435
11.921	1	1	1	10.07
11.961	1	1	1	2.25354
12.001	1	1	1	22.1166
12.041	1	1	1	11.2741
12.081	1	1	1	9.0523
12.121	1	1	1	2.30812
12.161	1	1	1	4.05091
12.201	1	1	1	21.0654
12.241	1	1	1	29.5965
12.281	1	1	1	41.8139
12.321	1	1	1	88.7916
12.361	1	1	1	91.6293
12.401	1	1	1	34.9664
12.441	1	1	1	17.9623
12.481	1	1	1	23.3531
12.521	1	1	1	44.0947
12.561	1	1	1	16.2068
12.601	1	1	1	1.11663
12.641	1	1	1	6.71582
12.681	1	1	1	9.62847
12.721	1	1	1	6.03356
12.761	1	1	1	14.5394
12.801	1	1	1	56.5413
12.841	1	1	1	86.9978
12.881	1	1	1	49.876
12.921	1	1	1	9.57411
12.961	1	1	1	5.0812
13.001	1	1	1	10.1092
13.041	1	1	1	14.6962
13.081	1	1	1	39.7559
13.121	1	1	1	27.0765
13.161	1	1	1	4.52817
13.201	1	1	1	14.8634
13.241	1	1	1	18.0963
13.281	1	1	1	24.7866
13.321	1	1	1	14.8267
13.361	1	1	1	39.7248
13.401	1	1	1	84.025
13.441	1	1	1	74.3011
13.481	1	1	1	39.2327
13.521	1	1	1	50.9302
13.561	1	1	1	24.3387
13.601	1	1	1	55.7352
13.641	1	1	1	28.2399
13.681	1	1	1	29.2699
13.721	1	1	1	75.9795
13.761	1	1	1	15.7761
13.801	1	1	1	32.0416
13.841	1	1	1	62.2001
13.881	1	1	1	23.8818
13.921	1	1	1	38.0423
13.961	1	1	1	23.8527
14.001	1	1	1	1.76789
14.041	1	1	1	14.8848
14.081	1	1	1	34.2998
14.121	1	1	1	22.8273
14.161	1	1	1	4.37738
14.201	1	1	1	1.38918
14.241	1	1	1	5.51422
14.281	1	1	1	9.12206
14.321	1	1	1	14.8772
14.361	1	1	1	24.3704
14.401	1	1	1	21.2821
14.441	1	1	1	12.9516
14.481	1	1	1	37.5743
14.521	1	1	1	31.2393
14.561	1	1	1	22.6034
14.601	1	1	1	10.01
14.641	1	1	1	8.66144
14.681	1	1	1	13.3145
14.721	1	1	1	8.13073
14.761	1	1	1	13.2009
14.801	1	1	1	24.89
14.841	1	1	1	17.7788
14.881	1	1	1	38.6516
14.921	1	1	1	33.8247
14.961	1	1	1	11.4538
15.001	1	1	1	9.05495
15.041	1	1	1	28.6721
15.081	1	1	1	15.0498
15.121	1	1	1	4.66998
15.161	1	1	1	6.89504
15.201	1	1	1	12.8736
15.241	1	1	1	11.2213
15.281	1	1	1	74.7968
15.321	1	1	1	106.659
15.361	1	1	1	36.8376
15.401	1	1	1	24.0768
15.441	1	1	1	49.6792
15.481	1	1	1	51.7313
15.521	1	1	1	1.60964
15.561	1	1	1	23.423
15.601	1	1	1	46.563
15.641	1	1	1	29.6111
15.681	1	1	1	31.999
15.721	1	1	1	17.9663
15.761	1	1	1	2.62707
15.801	1	1	1	20.2371
15.841	1	1	1	19.7899
15.881	1	1	1	10.3484
15.921	1	1	1	8.18831
15.961	1	1	1	1.29626
16.001	1	1	1	3.09472
16.041	1	1	1	45.4311
16.081	1	1	1	73.5186
16.121	1	1	1	23.6013
16.161	1	1	1	90.631
16.201	1	1	1	114.54
16.241	1	1	1	34.8653
16.281	1	1	1	7.56457
16.321	1	1	1	1.2053
16.361	1	1	1	4.25955
16.401	1	1	1	4.1998
16.441	1	1	1	6.08398
16.481	1	1	1	9.36103
16.521	1	1	1	29.4004
16.561	1	1	1	26.1736
16.601	1	1	1	22.1055
16.641	1	1	1	77.9649
16.681	1	1	1	90.8772
16.721	1	1	1	49.2653
16.761	1	1	1	29.7694
16.801	1	1	1	4.72888
16.841	1	1	1	30.545
16.881	1	1	1	54.1047
16.921	1	1	1	15.9583
16.961	1	1	1	8.77195
17.001	1	1	1	29.3758
17.041	1	1	1	13.8881
17.081	1	1	1	8.07748
17.121	1	1	1	11.2625
17.161	1	1	1	11.6461
17.201	1	1	1	7.42143
17.241	1	1	1	22.2901
17.281	1	1	1	19.9395
17.321	1	1	1	26.0087
17.361	1	1	1	43.7343
17.401	1	1	1	14.4771
17.441	1	1	1	31.375
17.481	1	1	1	56.4976
17.521	1	1	1	18.324
17.561	1	1	1	13.3324
17.601	1	1	1	40.4227
17.641	1	1	1	56.6275
17.681	1	1	1	7.12949
17.721	1	1	1	30.8726
17.761	1	1	1	40.0398
17.801	1	1	1	9.94655
17.841	1	1	1	31.9717
17.881	1	1	1	54.6384
17.921	1	1	1	48.3913
17.961	1	1	1	33.6846
18.001	1	1	1	27.2762
18.041	1	1	1	39.4267
18.081	1	1	1	14.1975
18.121	1	1	1	36.4168
18.161	1	1	1	93.9165
18.201	1	1	1	59.1594
18.241	1	1	1	15.2676
18.281	1	1	1	28.7606
18.321	1	1	1	15.5127
18.361	1	1	1	18.8246
18.401	1	1	1	89.7435
18.441	1	1	1	99.0632
18.481	1	1	1	33.3279
18.521	1	1	1	57.8929
18.561	1	1	1	7.59825
18.601	1	1	1	16.4604
18.641	1	1	1	11.6336
18.681	1	1	1	4.8052
18.721	1	1	1	12.3213
18.761	1	1	1	28.4311
18.801	1	1	1	52.1843
18.841	1	1	1	12.1607
18.881	1	1	1	13.52
18.921	1	1	1	16.7403
18.961	1	1	1	1.38139
19.001	1	1	1	61.7389
19.041	1	1	1	79.273
19.081	1	1	1	42.1222
19.121	1	1	1	23.6819
19.161	1	1	1	10.381
19.201	1	1	1	1.48742
19.241	1	1	1	16.3127
19.281	1	1	1	10.8426
19.321	1	1	1	14.7128
19.361	1	1	1	33.6934
19.401	1	1	1	12.9282
19.441	1	1	1	21.262
19.481	1	1	1	20.6295
19.521	1	1	1	43.4764
19.561	1	1	1	3.98569
19.601	1	1	1	46.5517
19.641	1	1	1	54.3789
19.681	1	1	1	9.79146
19.721	1	1	1	7.2595
19.761	1	1	1	7.06712
19.801	1	1	1	8.82406
19.841	1	1	1	8.4455
19.881	1	1	1	1.88421
19.921	1	1	1	0.781018
19.961	1	1	1	9.78595
20.001	1	1	1	94.6396
20.041	1	1	1	2.74242
20.081	1	1	1	52.8378
20.121	1	1	1	42.6533
20.161	1	1	1	10.112
20.201	1	1	1	18.1374
20.241	1	1	1	7.99971
20.281	1	1	1	68.9262
20.321	1	1	1	70.6709
20.361	1	1	1	5.06528
20.401	1	1	1	24.2098
20.441	1	1	1	55.2031
20.481	1	1	1	34.9671
20.521	1	1	1	64.2938
20.561	1	1	1	54.753
20.601	1	1	1	30.2264
20.641	1	1	1	85.0363
20.681	1	1	1	48.5788
20.721	1	1	1	46.8523
20.761	1	1	1	111.828
20.801	1	1	1	22.5735
20.841	1	1	1	47.2148
20.881	1	1	1	100.491
20.921	1	1	1	35.2201
20.961	1	1	1	41.4731
21.001	1	1	1	29.0622
21.041	1	1	1	43.6137
21.081	1	1	1	148.009
21.121	1	1	1	73.0232
21.161	1	1	1	28.2624
21.201	1	1	1	57.0102
21.241	1	1	1	65.424
21.281	1	1	1	116.774
21.321	1	1	1	63.4329
21.361	1	1	1	11.3366
21.401	1	1	1	38.2765
21.441	1	1	1	60.1364
21.481	1	1	1	18.2089
21.521	1	1	1	19.4568
21.561	1	1	1	3.66935
21.601	1	1	1	1.32658
21.641	1	1	1	3.45196
21.681	1	1	1	16.7263
21.721	1	1	1	33.0339
21.761	1	1	1	31.1411
21.801	1	1	1	6.04864
21.841	1	1	1	4.69557
21.881	1	1	1	17.8083
21.921	1	1	1	12.2339
21.961	1	1	1	18.3911
