0	10.1.3.1	0	0	0	0	x	x	x	x	0	0	0
0.1	10.1.3.1	0	0	0	0	x	x	x	x	0	0	0
0.2	10.1.3.1	0	0	0	0	x	x	x	x	0	0	0
0.3	10.1.3.1	0	0	0	0	x	x	x	x	0	0	0
0.4	10.1.3.1	0	0	0	0	x	x	x	x	0	0	0
0.5	10.1.3.1	0	0	0	1	x	x	x	x	0	0	0
0.6	10.1.3.1	0	0	0	3	x	x	x	x	0	0	0
0.7	10.1.3.1	20.9556	38.9028	0	5	x	x	x	x	22.3912	38.9028	35.3363
0.8	10.1.3.1	164.155	40.909	0	8	x	x	x	x	173.692	44.2526	35.3363
0.9	10.1.3.1	173.692	41.8209	0	17	x	x	x	x	253.184	44.2526	35.3363
1	10.1.3.1	221.987	43.2804	0	26	x	x	x	x	466.833	45.5738	35.3363
1.1	10.1.3.1	610.736	45.3289	0	38	x	x	x	x	622.444	48.1652	35.3363
1.2	10.1.3.1	798.655	47.645	0	62	x	x	x	x	841.427	51.8686	35.3363
1.3	10.1.3.1	996.54	52.1296	0	92	x	x	x	x	1494.81	61.9142	35.3363
1.4	10.1.3.1	996.54	60.918	0	125	x	x	x	x	1494.81	88.8811	35.3363
1.5	10.1.3.1	996.54	72.2472	0	158	x	x	x	x	1494.81	121.88	35.3363
1.6	10.1.3.1	996.54	85.713	0	191	x	x	x	x	1494.81	154.878	35.3363
1.7	10.1.3.1	996.54	100.176	0	224	x	x	x	x	1494.81	188.928	35.3363
1.8	10.1.3.1	996.54	114.556	0	257	x	x	x	x	1494.81	222.066	35.3363
1.9	10.1.3.1	996.54	129.997	0	287	x	x	x	x	1494.81	254.925	35.3363
2	10.1.3.1	996.54	143.077	0	300	x	x	x	x	1177.73	267.646	35.3363
2.1	10.1.3.1	996.54	154.345	0	300	x	x	x	x	1177.73	267.536	35.3363
2.2	10.1.3.1	996.54	163.742	0	300	x	x	x	x	1177.73	267.536	35.3363
2.3	10.1.3.1	752.866	163.194	0	302	x	x	x	x	31.1419	114.827	35.3363
2.4	10.1.3.1	173.692	161.877	0	309	x	x	x	x	215.141	44.2526	35.3363
2.5	10.1.3.1	231.59	160.2	0	317	x	x	x	x	414.962	46.5646	35.3363
2.6	10.1.3.1	327.963	155.87	0	325	x	x	x	x	437.747	47.6155	35.3363
2.7	10.1.3.1	628.105	150.923	0	337	x	x	x	x	622.444	49.8675	35.3363
2.8	10.1.3.1	751.675	145.946	0	361	x	x	x	x	761.098	52.6336	35.3363
2.9	10.1.3.1	939.594	140.54	0	389	x	x	x	x	1256.21	55.119	35.3363
3	10.1.3.1	996.54	136.315	0	417	x	x	x	x	1328.72	71.78	35.3363
3.1	10.1.3.1	996.54	134.006	0	444	x	x	x	x	1281.27	96.4476	35.3363
3.2	10.1.3.1	996.54	133.268	0	477	x	x	x	x	1494.81	119.898	35.3363
3.3	10.1.3.1	996.54	133.911	0	499	x	x	x	x	996.54	145.63	35.3363
3.4	10.1.3.1	996.54	136.173	0	521	x	x	x	x	996.54	179.68	35.3363
3.5	10.1.3.1	996.54	138.754	0	543	x	x	x	x	996.54	193.442	35.3363
